Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,27.549999,27.77,27.049999,27.200001,27.200001,5745300
2021-06-07,27.139999,28.07,27.1,27.52,27.52,11801600
2021-06-04,27.0,27.15,26.41,26.48,26.48,8019100
2021-06-02,26.5,27.209999,26.190001,27.030001,27.030001,5790300
2021-06-01,27.4,27.51,26.370001,26.450001,26.450001,7675200
2021-05-31,26.780001,26.870001,26.42,26.809999,26.809999,2414700
2021-05-28,27.379999,27.379999,26.35,26.59,26.59,7060100
2021-05-27,27.66,27.75,26.809999,27.42,27.42,6893200
2021-05-26,25.91,27.75,25.91,27.59,27.59,16208800
2021-05-25,25.209999,26.129999,25.190001,25.75,25.75,7503300
2021-05-24,25.68,25.75,24.91,25.030001,25.030001,5443500
2021-05-21,26.07,26.23,25.450001,25.5,25.5,5223300
2021-05-20,25.98,26.52,25.73,25.940001,25.940001,4526700
2021-05-19,25.309999,26.030001,25.24,25.91,25.91,5097000
2021-05-18,25.530001,25.950001,25.15,25.59,25.59,4409300
2021-05-17,25.5,25.58,24.889999,25.23,25.23,4036300
2021-05-14,24.5,25.48,24.209999,25.389999,25.389999,7879000
2021-05-13,24.190001,24.66,23.799999,24.09,24.09,5124500
2021-05-12,24.700001,24.83,23.9,23.99,23.99,6110400
2021-05-11,24.799999,25.200001,24.459999,24.940001,24.940001,6498200
2021-05-10,25.200001,25.43,24.92,25.33,25.33,4835400
2021-05-07,24.040001,25.1,23.950001,24.950001,24.950001,8915700
2021-05-06,24.120001,24.58,23.530001,23.91,23.91,6240100
2021-05-05,23.49,24.35,22.870001,24.190001,24.190001,8215100
2021-05-04,23.370001,23.530001,22.780001,23.17,23.17,5028600
2021-05-03,23.67,23.780001,23.040001,23.440001,23.440001,5717200
2021-04-30,23.76,24.370001,23.4,23.450001,23.450001,6254300
2021-04-29,24.08,24.950001,23.41,23.84,23.84,9908600
2021-04-28,24.07,24.360001,23.76,24.139999,24.139999,5219600
2021-04-27,24.32,24.52,23.709999,23.85,23.85,5322300
2021-04-26,24.299999,24.75,24.049999,24.219999,24.219999,9336300
2021-04-23,23.24,24.15,22.98,24.02,24.02,10336600
2021-04-22,22.639999,23.370001,22.42,23.07,23.07,11143600
2021-04-20,23.18,23.280001,22.049999,22.219999,22.219999,10294300
2021-04-19,22.77,23.530001,22.59,23.129999,23.129999,6330900
2021-04-16,22.99,23.059999,22.700001,22.76,22.76,4279200
2021-04-15,23.049999,23.27,22.75,22.959999,22.959999,5458500
2021-04-14,23.200001,23.559999,22.84,22.889999,22.889999,8087200
2021-04-13,23.32,23.32,22.51,23.18,23.18,6127300
2021-04-12,23.379999,23.65,22.77,23.219999,23.219999,7237900
